TOURNAMENT_ID,YEAR,TOURNAMENT,WINNER,RUNNER-UP,WINNER_NATIONALITY,WINNER_ATP_RANKING,RUNNER-UP_ATP_RANKING,WINNER_LEFT_OR_RIGHT_HANDED,TOURNAMENT_SURFACE,WINNER_PRIZE
28,1956,U.S. Open,Ken Rosewall,Lewis Hoad,Australian,,,right,outdoors,
27,1956,Wimbledon,Lewis Hoad,Ken Rosewall,Australian,,,right,Grass / Outdoor,
26,1956,French Open,Lewis Hoad,Sven Davidson,Australian,,,right,Clay,
25,1956,Australian Open,Lewis Hoad,Ken Rosewall,Australian,,,right,Grass,
24,1955,U.S. Open,Tony Trabert,Ken Rosewall,American,,,right,outdoors,
23,1955,Wimbledon,Tony Trabert,Kurt Nielsen,American,,,right,Grass / Outdoor,
22,1955,French Open,Tony Trabert,Sven Davidson,American,,,right,Clay,
21,1955,Australian Open,Ken Rosewall,Lew Hoad,Australian,,,right,Grass,
20,1954,U.S. Open,E. Victor Seixas Jr.,Rex Hartwig,American,,,right,outdoors,
19,1954,Wimbledon,Jaroslav Drobny,Ken Rosewall,Czechoslovak,,,left,Grass / Outdoor,
18,1954,French Open,Tony Trabert,Sven Davidson,American,,,right,Clay,
17,1954,Australian Open,Mervyn Rose,Rex Hartwig,Australian,,,right,Grass,
16,1953,U.S. Open,Tony Trabert,"E. Victor Seixas, Jr.",American,,,right,outdoors,
15,1953,Wimbledon,E. Victor Seixas Jr.,Kurt Nielsen,American,,,right,Grass / Outdoor,
14,1953,French Open,Ken Rosewall,"E. Victor Seixas, Jr.",Australian,,,right,Clay,
13,1953,Australian Open,Ken Rosewall,Mervyn Rose,Australian,,,right,Grass,
12,1952,U.S. Open,Frank Sedgman,Gardnar Mulloy,Australian,,,right,outdoors,
11,1952,Wimbledon,Frank Sedgman,Jaroslav Drobny,Australian,,,right,Grass / Outdoor,
10,1952,French Open,Jaroslav Drobny,Frank Sedgman,Czechoslovak,,,left,Clay,
9,1952,Australian Open,Ken McGregor,Frank Sedgman,Australian,,,right,Grass,
8,1951,U.S. Open,Frank Sedgman,"E. Victor Seixas, Jr.",Australian,,,right,outdoors,
7,1951,Wimbledon,R. Savitt,Ken McGregor,American,,,right,Grass / Outdoor,
6,1951,French Open,Jaroslav Drobny,Eric Sturgess,Czechoslovak,,,left,Clay,
5,1951,Australian Open,Dick Savitt,Ken McGregor,American,,,right,Grass,
4,1950,U.S. Open,Arthur Larsen,Herbert Flam,American,,,right,outdoors,
3,1950,Wimbledon,J.E. Patty,Frank Sedgman,American,,,right,Grass / Outdoor,
2,1950,French Open,Budge Patty,Jaroslav Drobny,American,,,right,Clay,
1,1950,Australian Open,Frank Sedgman,Ken McGregor,Australian,,,right,Grass,
